Model,TBS2102
Firmware Version,v1.26.0

Point Format,Y
Horizontal Units,S
Horizontal Scale,1e-05
Sample Interval,8e-09
Filter Frequency,1e+08
Record Length,20000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Label,
TIME,CH1
-1.98160e-05,-13.75
-1.98080e-05,-13.75
-1.98000e-05,-13.75
-1.97920e-05,-13.75
-1.97840e-05,-13.75
-1.97760e-05,-13.75
-1.97680e-05,-13.75
-1.97600e-05,-13.5
-1.97520e-05,-13.75
-1.97440e-05,-13.75
-1.97360e-05,-13.75
-1.97280e-05,-13.75
-1.97200e-05,-13.75
-1.97120e-05,-13.75
-1.97040e-05,-13.75
-1.96960e-05,-13.75
-1.96880e-05,-13.75
-1.96800e-05,-13.75
-1.96720e-05,-13.75
-1.96640e-05,-13.75
-1.96560e-05,-13.75
-1.96480e-05,-13.5
-1.96400e-05,-13.75
-1.96320e-05,-13.75
-1.96240e-05,-13.75
-1.96160e-05,-13.75
-1.96080e-05,-13.5
-1.96000e-05,-13.75
-1.95920e-05,-13.75
-1.95840e-05,-13.75
-1.95760e-05,-13.75
-1.95680e-05,-13.75
-1.95600e-05,-13.75
-1.95520e-05,-13.75
-1.95440e-05,-13.75
-1.95360e-05,-13.75
-1.95280e-05,-13.5
-1.95200e-05,-13.75
-1.95120e-05,-13.75
-1.95040e-05,-13.75
-1.94960e-05,-13.75
-1.94880e-05,-13.5
-1.94800e-05,-13.75
-1.94720e-05,-13.75
-1.94640e-05,-13.75
-1.94560e-05,-13.5
-1.94480e-05,-13.5
-1.94400e-05,-13.5
-1.94320e-05,-13.75
-1.94240e-05,-13.5
-1.94160e-05,-13.75
-1.94080e-05,-14
-1.94000e-05,-13.75
-1.93920e-05,-13.75
-1.93840e-05,-13.5
-1.93760e-05,-13.75
-1.93680e-05,-13.75
-1.93600e-05,-13.75
-1.93520e-05,-13.75
-1.93440e-05,-13.75
-1.93360e-05,-13.75
-1.93280e-05,-13.5
-1.93200e-05,-13.75
-1.93120e-05,-13.75
-1.93040e-05,-13.75
-1.92960e-05,-13.75
-1.92880e-05,-13.5
-1.92800e-05,-13.75
-1.92720e-05,-13.5
-1.92640e-05,-13.75
-1.92560e-05,-13.75
-1.92480e-05,-13.5
-1.92400e-05,-13.75
-1.92320e-05,-13.75
-1.92240e-05,-13.75
-1.92160e-05,-13.75
-1.92080e-05,-13.75
-1.92000e-05,-13.75
-1.91920e-05,-13.75
-1.91840e-05,-13.5
-1.91760e-05,-13.75
-1.91680e-05,-13.75
-1.91600e-05,-13.75
-1.91520e-05,-13.75
-1.91440e-05,-13.75
-1.91360e-05,-13.75
-1.91280e-05,-13.5
-1.91200e-05,-13.75
-1.91120e-05,-13.75
-1.91040e-05,-13.75
-1.90960e-05,-13.75
-1.90880e-05,-13.75
-1.90800e-05,-13.75
-1.90720e-05,-13.75
-1.90640e-05,-13.75
-1.90560e-05,-13.75
-1.90480e-05,-13.75
-1.90400e-05,-13.75
-1.90320e-05,-13.75
-1.90240e-05,-13.75
-1.90160e-05,-13.75
-1.90080e-05,-13.75
-1.90000e-05,-13.75
-1.89920e-05,-13.75
-1.89840e-05,-13.75
-1.89760e-05,-13.75
-1.89680e-05,-13.75
-1.89600e-05,-13.75
-1.89520e-05,-13.75
-1.89440e-05,-13.75
-1.89360e-05,-13.75
-1.89280e-05,-13.75
-1.89200e-05,-13.5
-1.89120e-05,-13.75
-1.89040e-05,-13.75
-1.88960e-05,-13.75
-1.88880e-05,-13.75
-1.88800e-05,-13.75
-1.88720e-05,-13.5
-1.88640e-05,-13.75
-1.88560e-05,-13.75
-1.88480e-05,-13.75
-1.88400e-05,-13.75
-1.88320e-05,-13.75
-1.88240e-05,-13.75
-1.88160e-05,-13.5
-1.88080e-05,-13.75
-1.88000e-05,-13.75
-1.87920e-05,-13.75
-1.87840e-05,-13.75
-1.87760e-05,-13.5
-1.87680e-05,-13.75
-1.87600e-05,-13.75
-1.87520e-05,-13.75
-1.87440e-05,-13.75
-1.87360e-05,-13.75
-1.87280e-05,-13.75
-1.87200e-05,-13.75
-1.87120e-05,-13.75
-1.87040e-05,-13.75
-1.86960e-05,-13.5
-1.86880e-05,-13.75
-1.86800e-05,-13.75
-1.86720e-05,-13.75
-1.86640e-05,-13.75
-1.86560e-05,-13.75
-1.86480e-05,-13.75
-1.86400e-05,-13.5
-1.86320e-05,-13.75
-1.86240e-05,-13.75
-1.86160e-05,-13.75
-1.86080e-05,-13.75
-1.86000e-05,-13.75
-1.85920e-05,-13.75
-1.85840e-05,-13.5
-1.85760e-05,-13.75
-1.85680e-05,-13.75
