Time [s],Voltage [V],Set Frequency [rad/s],Measured Frequency [rad/s]
1.012,1,8.34999999999919,7.63034136329871
1.014,1,8.34999999999924,7.59524156276471
1.016,1,8.34999999999928,7.65959381925214
1.018,1,8.34999999999932,7.61922569555602
1.02,1,8.34999999999936,7.60270277608631
1.022,1,8.3499999999994,7.60052508964019
1.024,1,8.34999999999943,7.6062113448422
1.026,1,8.34999999999947,7.61552951649385
1.028,1,8.3499999999995,7.62586459333484
1.03,1,8.34999999999952,7.63572186234877
1.032,1,8.34999999999955,7.64435148629758
1.034,1,8.34999999999958,7.65147480865411
1.036,1,8.3499999999996,7.65709191315625
1.038,1,8.34999999999962,7.66135150219743
1.04,1,8.34999999999965,7.58876792901582
1.042,1,8.34999999999967,7.55807349120575
1.044,1,8.34999999999969,7.55274415230962
1.046,1,8.3499999999997,7.56146570639946
1.048,1,8.34999999999972,7.57681854534889
1.05,1,8.34999999999974,7.59419198302778
1.052,1,8.34999999999975,7.6109281333052
1.054,1,8.34999999999977,7.6256726841467
1.056,1,8.34999999999978,7.63790006667611
1.058,1,8.34999999999979,7.64757847720061
1.06,1,8.34999999999981,7.65494253114639
1.062,1,8.34999999999982,7.66034574549491
1.064,1,8.34999999999983,7.66417014592317
1.066,1,8.34999999999984,7.66677525478833
1.068,1,8.34999999999985,7.66847311203256
1.07,1,8.34999999999986,7.66951964242149
1.072,1,8.34999999999986,7.59441667314484
1.074,1,8.34999999999987,7.63752027871663
1.076,1,8.34999999999988,7.58800074645796
1.078,1,8.34999999999989,7.56967998917764
1.08,1,8.34999999999989,7.56980289720175
1.082,1,8.3499999999999,7.57974800978048
1.084,1,8.3499999999999,7.59394887055739
1.086,1,8.34999999999991,7.60901736735422
1.088,1,8.34999999999991,7.62306129478039
1.09,1,8.34999999999992,7.63517283214244
1.092,1,8.34999999999992,7.64505864019811
1.094,1,8.34999999999993,7.65278197839374
1.096,1,8.34999999999993,7.658590004479
1.098,1,8.34999999999994,7.58710462133296
1.1,1,8.34999999999994,7.55715991062421
1.102,1,8.34999999999994,7.5523205000299
1.104,1,8.34999999999995,7.56134510128323
1.106,1,8.34999999999995,7.57687143106642
1.108,1,8.34999999999995,7.59433215607187
1.11,1,8.34999999999996,7.61110101424438
1.112,1,8.34999999999996,7.62584594257706
1.114,1,8.34999999999996,7.63805642646677
1.116,1,8.34999999999996,7.64771039438545
1.118,1,8.34999999999996,7.65504839560057
1.12,1,8.34999999999997,7.66042726998638
1.122,1,8.34999999999997,7.66423064597367
1.124,1,8.34999999999997,7.66681857329442
1.126,1,8.34999999999997,7.66850299381296
1.128,1,8.34999999999997,7.66953941040043
1.13,1,8.34999999999997,7.67012801500532
1.132,1,8.34999999999998,7.67041974912068
1.134,1,8.34999999999998,7.6705243961073
1.136,1,8.34999999999998,7.67051895824112
1.138,1,8.34999999999998,7.67045535879604
1.14,1,8.34999999999998,7.67036702406606
1.142,1,8.34999999999998,7.67027421853896
1.144,1,8.34999999999999,7.67018818867922
1.146,1,8.34999999999999,7.67011426247563
1.148,1,8.34999999999999,7.6700540862787
1.15,1,8.34999999999999,7.67000718086665
1.152,1,8.34999999999999,7.66997198094006
1.154,1,8.34999999999999,7.6699464965815
1.156,1,8.34999999999999,7.66992870786015
1.158,1,8.34999999999999,7.66991677820105
1.16,1,8.34999999999999,7.669909150059
1.162,1,8.34999999999999,7.66990456839357
1.164,1,8.34999999999999,7.66990206333032
1.166,1,8.34999999999999,7.6699009127706
1.168,1,8.34999999999999,7.66990059800041
1.17,1,8.34999999999999,7.66990075994766
1.172,1,8.34999999999999,7.66990116010156
1.174,1,8.34999999999999,7.66990164777594
1.176,1,8.34999999999999,7.66990213398553
1.178,1,8.34999999999999,7.66990257142705
1.18,1,8.34999999999999,7.66990293969122
1.182,1,8.34999999999999,7.66990323472325
1.184,1,8.34999999999999,7.66990346158865
1.186,1,8.34999999999999,7.66990362971627
1.188,1,8.34999999999999,7.66990374993085
1.19,1,8.34999999999999,7.66990383273297
1.192,1,8.34999999999999,7.6699038874143
1.194,1,8.34999999999999,7.6699039217044
1.196,1,8.34999999999999,7.66990394173745
1.198,1,8.34999999999999,7.66990395219139
1.2,1,8.34999999999999,7.66990395650592
1.202,1,8.34999999999999,7.66990395712094
1.204,1,8.34999999999999,7.66990395570252
1.206,1,8.34999999999999,7.66990395334009
1.208,1,8.34999999999999,7.6699039507074
1.21,1,8.34999999999999,7.66990394819052
1.212,1,8.34999999999999,7.66990394598368
1.214,1,8.34999999999999,7.66990394415992
1.216,1,8.34999999999999,7.66990394272046
1.218,1,8.34999999999999,7.66990394162805
1.22,1,8.34999999999999,7.66990394082842
1.222,1,8.34999999999999,7.6699039402638
1.224,1,8.34999999999999,7.66990393988029
1.226,1,8.34999999999999,7.66990393963116
1.228,1,8.34999999999999,7.66990393947828
1.23,1,8.34999999999999,7.66990393939194
1.232,1,8.34999999999999,7.66990393934942
1.234,1,8.34999999999999,7.66990393933452
1.236,1,8.34999999999999,7.66990393933575
1.238,1,8.34999999999999,7.66990393934557
1.24,1,8.34999999999999,7.66990393935898
1.242,1,8.34999999999999,7.59420502169653
1.244,1,8.34999999999999,7.5613128334911
1.246,1,8.34999999999999,7.5544919232306
1.248,1,8.34999999999999,7.56224565942268
1.25,1,8.34999999999999,7.57700547052613
1.252,1,8.34999999999999,7.5940442514275
1.254,1,8.34999999999999,7.61061654010108
1.256,1,8.34999999999999,7.54960555374078
1.258,1,8.34999999999999,7.52894689913058
1.26,1,8.34999999999999,7.53184341324878
1.262,1,8.34999999999999,7.54701388947438
1.264,1,8.34999999999999,7.5672316912688
