Time [s],Voltage [V],Set Frequency [rad/s],Measured Frequency [rad/s]
6.098,1,8.83000000058206,7.63753748827424
6.1,1,8.83000000055702,7.64725503663837
6.102,1,8.83000000053306,7.65467188155076
6.104,1,8.83000000051014,7.66012995658157
6.106,1,8.8300000004882,7.66400490675148
6.108,1,8.8300000004672,7.59095435998859
6.11,1,8.8300000004471,7.55979513540349
6.112,1,8.83000000042787,7.6297469660505
6.114,1,8.83000000040947,7.67100927175774
6.116,1,8.83000000039186,7.69290162771039
6.118,1,8.830000000375,7.70230505610131
6.12,1,8.83000000035888,7.70412119015812
6.122,1,8.83000000034344,7.70171246256377
6.124,1,8.83000000032867,7.69728873105004
6.126,1,8.83000000031453,7.69222718537356
6.128,1,8.830000000301,7.6873251057463
6.13,1,8.83000000028806,7.68299187077671
6.132,1,8.83000000027567,7.67938962225586
6.134,1,8.83000000026381,7.67653267023479
6.136,1,8.83000000025247,7.67435508715041
6.138,1,8.83000000024161,7.67275466878231
6.14,1,8.83000000023122,7.67161995500857
6.142,1,8.83000000022127,7.67084555104707
6.144,1,8.83000000021175,7.67033969825978
6.146,1,8.83000000020265,7.67002696514264
6.148,1,8.83000000019393,7.66984807076407
6.15,1,8.83000000018559,7.669758196622
6.152,1,8.83000000017761,7.66972465912615
6.154,1,8.83000000016997,7.66972447087572
6.156,1,8.83000000016266,7.66974208333499
6.158,1,8.83000000015566,7.66976744901933
6.16,1,8.83000000014897,7.66979444530315
6.162,1,8.83000000014256,7.6698196466117
6.164,1,8.83000000013643,7.66984140355296
6.166,1,8.83000000013056,7.66985917660128
6.168,1,8.83000000012494,7.66987307127108
6.17,1,8.83000000011957,7.6698835266041
6.172,1,8.83000000011443,7.66989111615072
6.174,1,8.83000000010951,7.66989642857483
6.176,1,8.8300000001048,7.66990000250053
6.178,1,8.83000000010029,7.66990229671038
6.18,1,8.83000000009597,7.74560259981093
6.182,1,8.83000000009184,7.70279663446753
6.184,1,8.8300000000879,7.676725713933
6.186,1,8.83000000008411,7.66215117275745
6.188,1,8.8300000000805,7.6551450582927
6.19,1,8.83000000007703,7.6528659756204
6.192,1,8.83000000007372,7.65333232701858
6.194,1,8.83000000007055,7.65521654253979
6.196,1,8.83000000006752,7.65767081187365
6.198,1,8.83000000006461,7.66018681256555
6.2,1,8.83000000006183,7.66248740968074
6.202,1,8.83000000005917,7.66444609175709
6.204,1,8.83000000005663,7.66602914735992
6.206,1,8.83000000005419,7.66725567408345
6.208,1,8.83000000005186,7.66817104293354
6.21,1,8.83000000004963,7.66883015620672
6.212,1,8.8300000000475,7.66928757973359
6.214,1,8.83000000004545,7.669592314506
6.216,1,8.8300000000435,7.59408664041139
6.218,1,8.83000000004163,7.56130917525102
6.22,1,8.83000000003984,7.55454979744635
6.222,1,8.83000000003812,7.63802954904053
6.224,1,8.83000000003648,7.60998869305239
6.226,1,8.83000000003492,7.60095044379181
6.228,1,8.83000000003341,7.60293660187055
6.23,1,8.83000000003198,7.61060505125618
6.232,1,8.8300000000306,7.62054650597088
6.234,1,8.83000000002928,7.63071876616483
6.236,1,8.83000000002802,7.64001013216236
6.238,1,8.83000000002682,7.64791477605609
6.24,1,8.83000000002566,7.65429984965398
6.242,1,8.83000000002456,7.6592444926324
6.244,1,8.8300000000235,7.6629330678119
6.246,1,8.83000000002249,7.66558784809795
6.248,1,8.83000000002153,7.66742938295207
6.25,1,8.8300000000206,7.66865553551956
6.252,1,8.83000000001972,7.66943254408022
